Παραστατικό;Σειρά;Ημερομηνία;Λήξη;Πελάτης;ΑΦΜ;Τρόπος πληρωμής;Περιγραφή;Ποσότητα;Τιμή;Έκπτωση;ΦΠΑ;Κωδικός;Σημειώσεις
3471;ΤΠΥ;05/07/2024;05/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΔΙΑΘΕΣΗ ΔΙΑΦΗΜΙΣΤΙΚΟΥ ΧΩΡΟΥ Η ΧΡΟΝΟΥ ΣΤΟ ΔΙΑΔΙΚΤΥΟ;1;500;0;24;;
3472;ΤΠΥ;07/07/2024;07/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΤΕΧΝΙΚΗ ΥΠΟΣΤΗΡΙΞΗ;1;500;0;24;;
3473;ΤΠΥ;09/07/2024;09/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΙΣΤΟΦΙΛΟΞΕΝΙΑΣ (WEB HOSTING);1;500;0;24;;
3474;ΤΠΥ;10/07/2024;10/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΓΡΑΦΙΣΤΑ ΔΙΑΦΗΜΙΣΕΩΝ;1;500;0;24;;
3475;ΤΠΥ;11/07/2024;11/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΓΡΑΦΙΣΤΑ ΔΙΑΦΗΜΙΣΕΩΝ;1;500;0;24;;
3476;ΤΠΥ;11/07/2024;11/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
3477;ΤΠΥ;11/07/2024;11/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΤΕΧΝΙΚΗ ΥΠΟΣΤΗΡΙΞΗ;1;500;0;24;;
3478;ΤΠΥ;13/07/2024;13/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΙΣΤΟΦΙΛΟΞΕΝΙΑΣ (WEB HOSTING);1;500;0;24;;
3479;ΤΠΥ;14/07/2024;14/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΔΙΑΘΕΣΗ ΔΙΑΦΗΜΙΣΤΙΚΟΥ ΧΩΡΟΥ Η ΧΡΟΝΟΥ ΣΤΟ ΔΙΑΔΙΚΤΥΟ;1;500;0;24;;
3480;ΤΠΥ;15/07/2024;15/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
3481;ΤΠΥ;15/07/2024;15/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΤΕΧΝΙΚΗ ΥΠΟΣΤΗΡΙΞΗ;1;500;0;24;;
3482;ΤΠΥ;17/07/2024;17/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΙΣΤΟΦΙΛΟΞΕΝΙΑΣ (WEB HOSTING);1;500;0;24;;
3483;ΤΠΥ;17/07/2024;17/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΔΙΑΘΕΣΗ ΔΙΑΦΗΜΙΣΤΙΚΟΥ ΧΩΡΟΥ Η ΧΡΟΝΟΥ ΣΤΟ ΔΙΑΔΙΚΤΥΟ;1;500;0;24;;
3484;ΤΠΥ;18/07/2024;18/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΓΡΑΦΙΣΤΑ ΔΙΑΦΗΜΙΣΕΩΝ;1;500;0;24;;
3485;ΤΠΥ;19/07/2024;19/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
3486;ΤΠΥ;20/07/2024;20/07/2024;HTB Ε Ε;EL802330000;Τράπεζα;ΤΕΧΝΙΚΗ ΥΠΟΣΤΗΡΙΞΗ;1;500;0;24;;
